t,d,spd_lim,tfc_flw,traf_lig,tfc_sgn,toll_booth,curvature,slope,velocity_kmh_raw
218845.6,79.9763517,50,40,0,0,0,0.0000331,-0.5601751,45.1666267
218846.1,86.3766447,50,40,0,0,0,0.0000387,-0.5682717,46.9975927
218846.6,92.9042553,50,40,0,0,0,0.0000484,-0.5757473,47
218847.1,99.3625923,50,40,0,0,0,0.0000457,-0.5823672,46.0000529
218847.6,105.7514849,50,40,0,0,0,0.0000178,-0.588226,46
218848.1,112.1403738,50,40,0,0,0,-0.0000048,-0.5933707,46
218848.6,118.5292627,50,40,0,0,0,-0.0000022,-0.5977723,46
218849.1,124.9181516,50,40,0,0,0,0.0000072,-0.6014466,46
218849.6,131.3070405,50,40,0,0,0,-0.000007,-0.6043994,46
218850.1,137.6959293,50,40,0,0,0,-0.0000418,-0.6066482,46
218850.6,144.0848182,50,40,0,0,0,-0.0000256,-0.6082396,46
218851.1,150.4737071,50,40,0,0,0,-0.0000005,-0.6091333,46
218851.6,156.862596,50,40,0,0,0,-0.0000375,-0.6092605,46
218852.1,163.3209293,50,40,0,0,0,-0.0000615,-0.6086291,47
218852.6,169.8487071,50,40,0,0,0,-0.0000552,-0.6072099,47
218853.1,176.3764849,50,40,0,0,0,-0.0000668,-0.6049683,47
218853.6,182.9042627,50,40,0,0,0,-0.0000856,-0.6018847,47
218854.1,189.4320405,50,40,0,0,0,-0.000089,-0.5979458,47
218854.6,195.9598182,50,40,0,0,0,-0.0000672,-0.5931568,47
218855.1,202.487596,50,40,0,0,0,-0.000053,-0.5875974,47
218855.6,208.9573906,50,40,0,0,0,-0.0000725,-0.5813705,46.1650424
218856.1,215.3577408,50,40,0,0,0,-0.0001199,-0.5744939,46
218856.6,221.7466297,50,40,0,0,0,-0.000146,-0.5669795,46
218857.1,228.1355186,50,40,0,0,0,-0.0001343,-0.5588902,46
218857.6,234.4550769,50,40,0,0,0,-0.0001373,-0.5503761,45.00164
218858.1,240.7051908,50,40,0,0,0,-0.0001274,-0.5415256,45
218858.6,246.8857463,50,40,0,0,0,-0.0000874,-0.5324301,44
218859.1,252.9968574,50,40,0,0,0,-0.0001201,-0.5231691,44
218859.6,259.0385241,50,40,0,0,0,-0.0001949,-0.5138254,43
218860.1,264.9413019,50,40,0,0,0,-0.0001837,-0.5045878,42
218860.6,270.7746352,50,40,0,0,0,-0.0001207,-0.4953914,42
218861.1,276.5379314,50,40,0,0,0,-0.0000811,-0.4862896,40.9914646
218861.6,282.1623386,50,40,0,0,0,-0.0001132,-0.4774906,40
218862.1,287.7178942,50,40,0,0,0,-0.0001795,-0.4689247,40
218862.6,293.1519171,50,40,0,0,0,-0.0001681,-0.4606466,38.2499298
218863.1,298.4470511,50,40,0,0,0,-0.0001082,-0.4526815,38
218863.6,303.7248289,50,40,0,0,0,-0.0000987,-0.4448669,38
218864.1,308.9331663,50,40,0,0,0,-0.0001288,-0.4373059,37.000059
218864.6,314.0720593,50,40,0,0,0,-0.0001455,-0.4300185,37
218865.1,319.2803926,50,40,0,0,0,-0.0001441,-0.4228065,38
218865.6,324.5581704,50,40,0,0,0,-0.0001366,-0.4156643,38
218866.1,329.8359482,50,40,0,0,0,-0.0001326,-0.4086715,38
218866.6,335.113726,50,40,0,0,0,-0.0001375,-0.4018141,38
218867.1,340.4609482,50,40,0,0,0,-0.0001445,-0.3950093,39
218867.6,345.9470593,50,40,0,0,0,-0.0001433,-0.3881757,40
218868.1,351.5026149,50,40,0,0,0,-0.000123,-0.3813789,40
218868.6,357.1276149,50,40,0,0,0,-0.0000933,-0.3745979,41
218869.1,362.8220593,50,40,0,0,0,-0.0000957,-0.3678262,41
218869.6,368.5165037,50,40,0,0,0,-0.000127,-0.3611644,41
218870.1,374.2803926,50,40,0,0,0,-0.0001471,-0.3545663,42
218870.6,380.0442815,50,40,0,0,0,-0.0001424,-0.348109,41
218871.1,385.8776149,50,40,0,0,0,-0.0001226,-0.3417029,43
218871.6,391.8498371,50,40,0,0,0,-0.0001306,-0.33529,43
218872.1,397.8915037,50,40,0,0,0,-0.0001569,-0.3289544,44
218872.6,404.0026149,50,40,0,0,0,-0.0001193,-0.3226852,44
218873.1,410.113726,50,40,0,0,0,-0.000077,-0.316566,44
218873.6,416.1553926,50,40,0,0,0,-0.0001157,-0.3106812,43
218874.1,422.1276149,50,40,0,0,0,-0.0001537,-0.305019,43
218874.6,428.0998371,50,40,0,0,0,-0.0001411,-0.299497,43
218875.1,434.0176694,50,40,0,0,0,-0.0001018,-0.2941503,42.2167849
218875.6,439.8660572,50,40,0,0,0,-0.0000895,-0.2890123,42
218876.1,445.6993905,50,40,0,0,0,-0.0001316,-0.2840577,42
218876.6,451.5327239,50,40,0,0,0,-0.0001329,-0.2792433,42
218877.1,457.3660572,50,40,1,0,0,-0.0000859,-0.2745543,42
218877.6,463.1993905,50,40,0,0,0,-0.0001365,-0.2700128,42
218878.1,469.0327239,50,40,0,0,0,-0.0002009,-0.2656138,42
218878.6,474.8660572,50,40,0,0,0,-0.0000991,-0.261337,42
218879.1,480.7688314,50,40,0,0,0,-0.000041,-0.2571485,42.9999489
218879.6,486.7410501,50,40,0,0,0,-0.000169,-0.2530647,43
218880.1,492.6438279,50,40,0,0,0,-0.0001952,-0.2491617,42
218880.6,498.4771612,50,40,0,0,0,-0.0000908,-0.2454338,42
218881.1,504.3104946,50,40,0,0,0,-0.0000655,-0.2418501,42
218881.6,510.0743834,50,40,0,0,0,-0.0001032,-0.2384445,41
218882.1,515.7688279,50,40,0,0,0,-0.0001244,-0.2352079,41
218882.6,521.4632723,50,40,0,0,0,-0.0001376,-0.2321225,41
218883.1,527.1577168,50,40,0,0,0,-0.0001467,-0.2291918,41
218883.6,532.7827168,50,40,0,0,0,-0.0001294,-0.2264171,40
218884.1,538.4077168,50,40,0,0,0,-0.0000941,-0.2237659,41
218884.6,544.1027545,50,40,0,0,0,-0.000073,-0.2212384,41.0085438
218885.1,549.8672368,50,40,0,0,0,-0.0000919,-0.2188423,42
218885.6,555.7005701,50,40,0,0,0,-0.0001458,-0.2165767,42
218886.1,561.5339034,50,40,0,0,0,-0.0001389,-0.2144757,42
218886.6,567.3672368,50,40,0,0,0,-0.000062,-0.2125442,42
218887.1,573.2005701,50,40,0,0,0,-0.0000443,-0.2107833,42
218887.6,579.0339034,50,40,0,0,0,-0.0000861,-0.2091945,42
